"country","Q1","Q3","Q4","Q6","Q12A","Q12B","Q12C","Q12D","Q13A","Q13B","Q13E","Q13F","Q13G","Q17","Q18","Q19B","Q25A","Q25D","Q26A","Q26B","Q26C","Q26D","Q26E","Q26F","Q26G","Q32","Q33","Q39","Q40","Q41","Q42","Q43","Q44","Q70","Q71","Q152","Q164","iso3","iso2","gdp.per.capita","fdi.gdp","trade.gdp"
"Ghana",1.71067415730337,3.18539325842697,2.42415730337079,1.90730337078652,1.33707865168539,1.62640449438202,2.31460674157303,2.03370786516854,1.29494382022472,1.6376404494382,1.80337078651685,1.64044943820225,1.36516853932584,1.47752808988764,1.83426966292135,1.16011235955056,1.55337078651685,2.12359550561798,1.17977528089888,1.20505617977528,1.26685393258427,1.30898876404494,1.33988764044944,1.3623595505618,1.36797752808989,1.43820224719101,1.79213483146067,1.34269662921348,1.13202247191011,1.54775280898876,1.26123595505618,2.3314606741573,1.33426966292135,1.6938202247191,1.19101123595506,1.0814606741573,2.97752808988764,"GHA","GH",1685.98612144005,8.50302271413812,99.2482828705072
"India",1.82142857142857,1.84006211180124,1.75776397515528,1.30434782608696,1.56832298136646,2.36024844720497,2.35093167701863,1.94254658385093,1.21739130434783,1.57142857142857,1.73291925465839,1.4472049689441,1.49534161490683,1.32608695652174,1.75776397515528,1.28105590062112,1.56521739130435,2.06987577639752,1.16149068322981,1.40683229813665,1.38819875776398,1.42857142857143,1.42080745341615,1.45807453416149,1.3944099378882,1.24378881987578,1.69409937888199,1.31987577639752,1.15683229813665,1.65527950310559,1.31366459627329,2.31987577639752,1.4083850931677,1.6583850931677,1.1195652173913,1.26863354037267,2.57919254658385,"IND","IN",1758.04337612882,2.08402837660969,42.1981135837184
"Indonesia",1.81889763779528,2.62992125984252,2.64566929133858,1.68503937007874,2.07874015748031,1.99606299212598,2.59055118110236,2.55905511811024,1.65354330708661,1.43307086614173,1.94094488188976,1.97637795275591,1.66929133858268,1.8740157480315,1.62204724409449,1.24803149606299,2.04724409448819,2.49606299212598,1.22834645669291,1.31496062992126,1.39763779527559,1.60236220472441,1.54330708661417,1.59448818897638,1.57086614173228,1.69291338582677,1.81102362204724,1.89370078740157,1.24803149606299,2.08661417322835,1.77952755905512,2.56299212598425,1.48818897637795,1.57086614173228,1.10629921259843,1.02755905511811,2.39763779527559,"IDN","ID",3827.54830741942,2.29654364204368,41.8735519504536
"Israel",1.85567010309278,2.52061855670103,2.62113402061856,1.8840206185567,2.03865979381443,2.12886597938144,3.39175257731959,2.66237113402062,2.10824742268041,1.65463917525773,1.80412371134021,2.21907216494845,1.90721649484536,1.57216494845361,1.81443298969072,1.30154639175258,2.50773195876289,2.72938144329897,1.46907216494845,1.50257731958763,1.64690721649485,1.74226804123711,1.51288659793814,1.6159793814433,1.67010309278351,1.91494845360825,1.72164948453608,1.68298969072165,1.16237113402062,1.84020618556701,2.07216494845361,2.46907216494845,1.39175257731959,1.1340206185567,1.0360824742268,1.97422680412371,2.12371134020619,"ISR","IL",33117.9652082667,3.84422040456482,58.4316131465952
"Italy",1.83977900552486,3.22099447513812,3.17955801104972,2.46961325966851,1.86187845303867,2.61325966850829,3.38397790055249,2.91160220994475,1.59944751381215,1.33977900552486,1.69060773480663,2.06906077348066,1.58839779005525,1.62707182320442,1.87016574585635,1.21546961325967,1.96132596685083,3.06906077348066,1.25414364640884,1.29281767955801,1.38397790055249,1.40883977900552,1.44198895027624,1.49447513812155,1.51381215469613,1.48342541436464,1.80939226519337,1.65745856353591,1.08011049723757,1.37292817679558,1.79005524861878,2.84806629834254,1.4171270718232,1.18508287292818,1.02762430939227,2.12430939226519,2.85359116022099,"ITA","IT",33911.9338362754,0.712675868171889,57.1261405437763
"Japan",1.94605809128631,2.67427385892116,2.94813278008299,2.59336099585062,2.20746887966805,3.43360995850622,3.10788381742739,2.98755186721992,1.87759336099585,1.48340248962656,1.96058091286307,1.92323651452282,1.92116182572614,1.51867219917012,1.22406639004149,1.17219917012448,2.22199170124481,2.97717842323651,1.32157676348548,1.33817427385892,1.40041493775934,1.49377593360996,1.5207468879668,1.4149377593361,1.5207468879668,1.79045643153527,1.59336099585062,1.54149377593361,1.10788381742739,1.42323651452282,1.9045643153527,2.90871369294606,1.61410788381743,1.15352697095436,1.05186721991701,2.93775933609959,2.37759336099585,"JPN","JP",47082.6885940638,0.127433093245314,35.5947617658213
"Jordan",1.87747035573123,2.94861660079051,2.97233201581028,2.03162055335968,3.3596837944664,2.81422924901186,3.56126482213439,3.34782608695652,1.82608695652174,1.46640316205534,1.99209486166008,2.24505928853755,1.78260869565217,2.02371541501976,1.78260869565217,1.4703557312253,3.3399209486166,3.4901185770751,1.81818181818182,1.71541501976285,1.43478260869565,1.63241106719368,1.52569169960474,1.60079051383399,1.61264822134387,1.76679841897233,1.56521739130435,1.75494071146245,1.21343873517787,2.15415019762846,2.17391304347826,2.41501976284585,1.39525691699605,1.37944664031621,1.01581027667984,1.20158102766798,2.26877470355731,"JOR","JO",3297.89441163032,3.39785908148493,98.0780329769376
"Kenya",1.49014778325123,2.52463054187192,2.58866995073892,1.9679802955665,1.58374384236453,1.96551724137931,2.80295566502463,2.66256157635468,1.45566502463054,2.04679802955665,2.11576354679803,1.89162561576355,1.7512315270936,1.45073891625616,1.70197044334975,1.23152709359606,1.63793103448276,2.66502463054187,1.20197044334975,1.44088669950739,1.39901477832512,1.41625615763547,1.48768472906404,1.49507389162562,1.45566502463054,1.49753694581281,1.78325123152709,1.42364532019704,1.19211822660099,1.57635467980296,1.43103448275862,1.77093596059113,1.57389162561576,1.48522167487685,1.12068965517241,1.1551724137931,3.00985221674877,"KEN","KE",1107.91805611762,0.97184942569406,44.3775450648384
"Lebanon",2.02020202020202,3.42424242424242,3.46666666666667,2.31919191919192,2.43434343434343,2.56565656565657,2.98989898989899,2.73535353535354,1.52727272727273,1.23232323232323,2.28484848484848,2.38181818181818,1.86060606060606,1.61010101010101,1.73333333333333,1.08888888888889,2.44242424242424,2.84242424242424,1.4040404040404,1.28686868686869,1.21818181818182,1.40606060606061,1.4969696969697,1.48686868686869,1.52525252525253,1.27878787878788,1.73535353535354,1.63434343434343,1.14949494949495,1.64444444444444,1.69090909090909,2.01616161616162,1.35151515151515,1.27474747474747,1.05656565656566,1.56969696969697,2.22626262626263,"LBN","LB",7044.60739341358,4.99781578964391,121.930215746393
"Malaysia",1.72897196261682,2.64485981308411,3.09968847352025,2.22118380062305,2.40809968847352,1.92523364485981,2.64797507788162,2.64797507788162,1.79750778816199,2.22741433021807,2.51401869158878,2.11526479750779,1.74454828660436,1.6791277258567,1.78504672897196,1.43302180685358,2.19003115264797,2.52647975077882,1.40498442367601,1.39563862928349,1.64797507788162,1.66355140186916,1.61682242990654,1.601246105919,1.65420560747664,1.65109034267913,1.74766355140187,1.95015576323988,1.26479750778816,1.90031152647975,1.65109034267913,2.35514018691589,1.57009345794393,1.26791277258567,1.04361370716511,1.10903426791277,1.9595015576324,"MYS","MY",10739.5383286163,3.70008222853672,134.155076248732
"Mexico",1.7629179331307,2.82978723404255,2.76595744680851,2.04863221884498,2.1063829787234,2.3951367781155,3.19756838905775,2.87537993920973,1.55927051671733,2.15197568389058,2.19148936170213,2.08510638297872,1.69300911854103,1.69300911854103,1.80243161094225,1.35866261398176,2.32522796352584,3.03343465045593,1.41337386018237,1.47112462006079,1.70516717325228,1.68085106382979,1.66261398176292,1.72948328267477,1.7112462006079,1.41337386018237,1.80243161094225,1.72340425531915,1.17021276595745,1.37386018237082,1.52279635258359,1.7629179331307,1.54103343465046,1.37386018237082,1.21276595744681,1.99696048632219,2.53495440729483,"MEX","MX",9612.96469760968,2.88272801924399,72.2323342586788
